sent	verb	obj	Type	Patienthood	BigramF	W_Freq	logWFreq	DepEmbedding	Word2Vec
"[""block2-HH-List4"", ""DashedSentence"", {s: [""He"", ""loved"", ""to"", ""record"",""the message"", ""while"", ""walking around.""]}],"	record	message	block2-HH-List4	5.6	266	4667	3.6691	-0.0412644992627	0.08515114310205739
"[""block3-HL-List4"", ""DashedSentence"", {s: [""She"", ""wanted"", ""to"", ""accuse"",""the defendant"", ""of"", ""vandalism.""]}],"	accuse	defendant	block3-HL-List4	6.8	0	904	2.9566	0.0409007565598	0.054825423248338404
"[""block4-LH-List4"", ""DashedSentence"", {s: [""They"", ""asked"", ""to"", ""torture"",""the man"", ""during"", ""the weekend.""]}],"	torture	man	block4-LH-List4	2.8	671	94133	4.9737	0.0182861438844	0.09235550653011652
"[""block5-LL-List4"", ""DashedSentence"", {s: [""We"", ""had"", ""to"", ""search"",""the patrolman"", ""for"", ""the evidence.""]}],"	search	patrolman	block5-LL-List4	1.4	0	62	1.7993	None	0.102821270730784
"[""block6-HH-List4"", ""DashedSentence"", {s: [""He"", ""refused"", ""to"", ""dismiss"",""the student"", ""for"", ""such misbehavior.""]}],"	dismiss	student	block6-HH-List4	5.9	26	2195	3.3416	0.000312929241433	-0.007483965322881972
"[""block7-HL-List4"", ""DashedSentence"", {s: [""We"", ""began"", ""to"", ""punish"",""the delinquent"", ""despite"", ""the opposition.""]}],"	punish	delinquent	block7-HL-List4	5.7	0	71	1.8573	None	0.1817719867677274
"[""block8-LH-List4"", ""DashedSentence"", {s: [""She"", ""agreed"", ""to"", ""arrest"",""the guard"", ""after"", ""three weeks.""]}],"	arrest	guard	block8-LH-List4	1.6	92	2968	3.4726	-0.0253502286635	0.1456298601664839
"[""block9-LL-List4"", ""DashedSentence"", {s: [""They"", ""failed"", ""to"", ""tow"",""the family"", ""during"", ""the storm.""]}],"	tow	family	block9-LL-List4	1.2	0	18067	4.2569	-0.0665720621141	0.15020092881129304
"[""block10-HH-List4"", ""DashedSentence"", {s: [""He"", ""needed"", ""to"", ""show"",""the movie"", ""during"", ""the party.""]}],"	show	movie	block10-HH-List4	7	102	6271	3.7974	-0.0531454323495	0.1887273585751633
"[""block11-HL-List4"", ""DashedSentence"", {s: [""She"", ""strived"", ""to"", ""rescue"",""the hostage"", ""while"", ""driving.""]}],"	rescue	hostage	block11-HL-List4	5.2	0	743	2.8716	0.0190362527925	0.2919514196792012
"[""block12-LH-List4"", ""DashedSentence"", {s: [""We"", ""intended"", ""to"", ""select"",""the secretary"", ""after"", ""the workshop.""]}],"	select	secretary	block12-LH-List4	3.9	52	1694	3.2292	-0.0249230320109	3.189358532149859e-05
